date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-04-16,600539,buy,15.96798,700,5.11177586,strategy_v5_alpha_entry,2026-04-15,15.1508,19.281428571428574
2026-04-17,002645,sell,22.418785,800,13.967514,target_close_confirmed,2026-04-16,20.314,22.62857142857143
2026-04-20,003031,sell,120.23985,100,11.011992500000002,target_close_confirmed,2026-04-17,100.42142857142858,109.33285714285714
2026-04-20,002638,sell,4.63768,3500,13.11594,three_bars_no_high,2026-04-17,4.4394,5.485714285714286
2026-04-20,000062,buy,30.925455,500,5.0,strategy_v5_alpha_entry,2026-04-17,28.8904,34.924285714285716
2026-04-21,002246,buy,27.063525,600,5.0,strategy_v5_alpha_entry,2026-04-20,25.685799999999997,31.029285714285713
2026-04-21,300184,buy,12.856425,1300,5.0,strategy_v5_alpha_entry,2026-04-20,12.5832,14.614999999999998
2026-04-22,002437,sell,3.6981500000000005,200,5.369815,three_bars_no_high,2026-04-21,3.6064000000000007,4.548571428571429
2026-04-23,600539,sell,16.401795,700,10.855440815,three_bars_no_high,2026-04-22,15.203,19.281428571428574
2026-04-23,002245,buy,20.6103,800,5.0,strategy_v5_alpha_entry,2026-04-22,19.8548,23.11714285714286
2026-04-24,002246,sell,24.927530000000004,600,12.478259000000001,three_bars_no_high,2026-04-23,25.685799999999997,31.029285714285713
2026-04-24,002245,add,20.940465,200,5.0,pyramid_add,2026-04-23,20.031200000000002,23.673571428571428
2026-04-24,003036,buy,30.47523,300,5.0,strategy_v5_alpha_entry,2026-04-23,27.831999999999997,36.23142857142857
2026-04-27,300054,buy,57.2286,200,5.0,strategy_v5_alpha_entry,2026-04-24,54.096000000000004,64.20428571428572
2026-04-28,000062,sell,38.26086,500,14.565215,target_close_confirmed,2026-04-27,33.745714285714286,34.924285714285716
2026-04-28,003036,sell,37.081450000000004,300,10.562217500000001,target_close_confirmed,2026-04-27,32.54571428571429,36.23142857142857
2026-04-29,002245,sell,20.749620000000004,1000,15.562215000000002,three_bars_no_high,2026-04-28,20.031200000000002,23.673571428571428
2026-04-29,000155,buy,18.009,500,5.0,strategy_v5_alpha_entry,2026-04-28,17.296999999999997,21.35214285714286
2026-04-29,002386,buy,6.893444999999999,200,5.0,strategy_v5_alpha_entry,2026-04-28,6.664,7.650714285714287
2026-04-30,300184,sell,13.123435,1300,13.530232750000001,three_bars_no_high,2026-04-29,12.709,14.614999999999998
2026-04-30,002181,buy,15.207599999999998,1000,5.0,strategy_v5_alpha_entry,2026-04-29,14.062999999999999,17.78214285714286
2026-05-06,000155,sell,17.49125,500,9.3728125,close_stop,2026-04-30,17.465,21.35214285714286
2026-05-06,001283,buy,75.00748499999999,200,5.0,strategy_v5_alpha_entry,2026-04-30,72.1084,82.02857142857141
2026-05-07,300054,sell,67.22637,200,11.722637,target_close_confirmed,2026-05-06,58.31000000000001,64.20428571428572
2026-05-07,002181,sell,18.1909,1000,14.09545,target_close_confirmed,2026-05-06,15.995714285714286,17.78214285714286
2026-05-07,000949,buy,8.294144999999999,2200,5.0,strategy_v5_alpha_entry,2026-05-06,7.889000000000001,9.485714285714286
2026-05-08,002386,sell,6.67666,200,5.6676660000000005,close_stop,2026-05-07,6.735714285714286,7.650714285714287
2026-05-08,002364,buy,45.2226,300,5.0,strategy_v5_alpha_entry,2026-05-07,43.5806,53.95428571428572
2026-05-08,300166,buy,19.099545,900,5.0,strategy_v5_alpha_entry,2026-05-07,18.032,23.050000000000004
2026-05-11,001283,sell,73.86305000000002,200,12.386305,three_bars_no_high,2026-05-08,72.1084,82.02857142857141
2026-05-11,000949,sell,7.69615,2200,13.465765,close_stop,2026-05-08,7.889000000000001,9.485714285714286
2026-05-11,300400,buy,30.085034999999998,100,5.0,strategy_v5_alpha_entry,2026-05-08,28.125999999999998,35.47428571428571
2026-05-12,300400,add,31.745865,100,5.0,pyramid_add,2026-05-11,29.302,37.247142857142855
2026-05-12,001287,buy,30.13506,600,5.0,strategy_v5_alpha_entry,2026-05-11,28.9884,34.93714285714286
2026-05-12,002429,buy,13.186589999999999,1400,5.0,strategy_v5_alpha_entry,2026-05-11,12.3676,15.599285714285713
2026-05-13,002364,sell,44.47775,300,11.6716625,three_bars_no_high,2026-05-12,43.5806,53.95428571428572
2026-05-13,001287,sell,28.235875,600,13.470762500000001,close_stop,2026-05-12,28.9884,34.93714285714286
2026-05-13,002429,add,13.16658,400,5.0,pyramid_add,2026-05-12,12.838,15.839285714285715
2026-05-14,002579,buy,13.856924999999999,1300,5.0,strategy_v5_alpha_entry,2026-05-13,13.043800000000001,15.615714285714285
2026-05-14,003816,buy,4.832415,3800,5.0,strategy_v5_alpha_entry,2026-05-13,4.6452,5.200714285714286
2026-05-18,002429,sell,12.5937,1800,17.001495,close_stop,2026-05-15,12.838,15.839285714285715
2026-05-19,300166,sell,19.999995000000002,900,13.99999775,three_bars_no_high,2026-05-18,18.032,23.050000000000004
2026-05-19,002579,sell,13.15342,1300,13.549723,three_bars_no_high,2026-05-18,13.043800000000001,15.615714285714285
2026-05-20,300400,sell,32.173905,200,8.2173905,three_bars_no_high,2026-05-19,30.64,37.247142857142855
2026-05-20,000006,buy,11.215605,1500,5.0,strategy_v5_alpha_entry,2026-05-19,10.4468,12.745000000000001
2026-05-20,300166,buy,21.740865,400,5.0,strategy_v5_alpha_entry,2026-05-19,19.2668,26.184285714285718
2026-05-20,688191,buy,57.48873,200,5.11497746,strategy_v5_alpha_entry,2026-05-19,53.41,68.87214285714286
2026-05-21,003816,sell,4.55772,3800,13.659668,close_stop,2026-05-20,4.6452,5.200714285714286
2026-05-22,300166,sell,18.87056,400,8.774112,close_stop,2026-05-21,19.2668,26.184285714285718
2026-05-22,688191,sell,52.21388,200,10.325815760000001,close_stop,2026-05-21,53.41,68.87214285714286
2026-05-25,000006,sell,10.884555,1500,13.163416250000001,three_bars_no_high,2026-05-22,10.4468,12.745000000000001
2026-05-26,300199,buy,25.062525,600,5.0,strategy_v5_alpha_entry,2026-05-25,24.3628,29.54785714285714
2026-05-26,300221,buy,13.366679999999999,1300,5.0,strategy_v5_alpha_entry,2026-05-25,12.9164,15.449285714285715
2026-05-26,300684,buy,65.8329,200,5.0,strategy_v5_alpha_entry,2026-05-25,61.642,78.91
2026-05-27,300536,buy,12.236115,1400,5.0,strategy_v5_alpha_entry,2026-05-26,11.789399999999999,13.349999999999998
2026-05-28,300536,sell,11.374310000000001,1400,12.962017000000001,close_stop,2026-05-27,11.789399999999999,13.349999999999998
2026-05-29,300199,sell,24.497745000000002,600,12.3493235,close_stop,2026-05-28,24.3628,29.54785714285714
2026-06-01,300684,sell,56.501735000000004,200,10.650173500000001,close_stop,2026-05-29,61.642,78.91
2026-06-02,300221,sell,13.373310000000002,1300,13.692651500000002,three_bars_no_high,2026-06-01,12.946,15.449285714285715
2026-06-03,001301,buy,95.357655,100,5.0,strategy_v5_alpha_entry,2026-06-02,88.6606,111.43285714285715
2026-06-03,301228,buy,72.87642,200,5.0,strategy_v5_alpha_entry,2026-06-02,69.4526,88.60714285714286
2026-06-03,301458,buy,49.6248,200,5.0,strategy_v5_alpha_entry,2026-06-02,46.158,59.45142857142858
2026-06-03,600378,buy,42.8214,100,5.0428214,strategy_v5_alpha_entry,2026-06-02,40.1898,51.29999999999999
2026-06-04,002897,buy,88.79437499999999,100,5.0,strategy_v5_alpha_entry,2026-06-03,86.4556,111.18214285714286
2026-06-08,001301,sell,84.95750000000001,100,9.247875,close_stop,2026-06-05,88.6606,111.43285714285715
2026-06-08,301458,sell,59.760105,200,10.976010500000001,target_close_confirmed,2026-06-05,54.10285714285715,59.45142857142858
2026-06-08,600378,add,45.522749999999995,100,5.04552275,pyramid_add,2026-06-05,42.3948,56.03928571428571
2026-06-09,002897,sell,82.31882,100,9.115941,close_stop,2026-06-08,86.4556,111.18214285714286
2026-06-09,600888,buy,10.52526,1600,5.16840416,strategy_v5_alpha_entry,2026-06-08,10.045,11.25
2026-06-10,300398,buy,42.411195,200,5.0,strategy_v5_alpha_entry,2026-06-09,40.229,54.400000000000006
2026-06-10,300400,buy,35.927955,100,5.0,strategy_v5_alpha_entry,2026-06-09,32.536,43.010000000000005
2026-06-11,600378,sell,63.85805500000001,200,11.51352161,target_close_confirmed,2026-06-10,50.44,56.03928571428571
2026-06-12,600888,add,11.26563,500,5.05632815,pyramid_add,2026-06-11,11.128,11.2
2026-06-12,000657,buy,80.350155,100,5.0,strategy_v5_alpha_entry,2026-06-11,70.7756,95.56642857142856
2026-06-15,301228,sell,75.75210500000001,200,12.5752105,close_stop,2026-06-12,76.418,88.60714285714286
2026-06-15,600888,sell,11.064465,2100,17.65888614,close_stop,2026-06-12,11.128,11.25
2026-06-15,300398,sell,41.47925,200,9.147925,close_stop,2026-06-12,40.229,54.400000000000006
2026-06-16,300400,sell,41.979,100,7.09895,target_close_confirmed,2026-06-15,37.28285714285715,43.010000000000005
2026-06-17,002815,buy,19.229609999999997,900,5.0,strategy_v5_alpha_entry,2026-06-16,18.473000000000003,23.254285714285714
2026-06-17,002903,buy,52.546260000000004,300,5.0,strategy_v5_alpha_entry,2026-06-16,49.5782,63.07357142857143
2026-06-17,003022,buy,28.164074999999997,200,5.0,strategy_v5_alpha_entry,2026-06-16,26.156200000000002,33.902857142857144
2026-06-18,300031,buy,28.324154999999998,400,5.0,strategy_v5_alpha_entry,2026-06-17,26.0582,32.574285714285715
2026-06-22,000657,sell,103.02846000000001,100,10.151423000000001,target_close_confirmed,2026-06-18,84.67857142857143,95.56642857142856
2026-06-23,000725,buy,6.853425,1400,5.0,strategy_v5_alpha_entry,2026-06-22,6.546399999999999,8.475
2026-06-24,002815,sell,17.43128,900,12.844076000000001,close_stop,2026-06-23,18.473000000000003,23.254285714285714
