run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
901,RANDOM,15b0aeca54b648602e5c6c6e51156b7d28f1949cc4a53f9c6dc169371f8115ae,15b0aeca54b648602e5c6c6e51156b7d28f1949cc4a53f9c6dc169371f8115ae,30,,0.151057,0.151057,-0.112549,0.864372,1.342141,1.390810,30,,,stateful_replay_over_full_engine_hard_pass
902,RANDOM,9af678f6ee668d9d08285a2b60b5281a013877cb7df79333a6c3c0c724fd7b36,9af678f6ee668d9d08285a2b60b5281a013877cb7df79333a6c3c0c724fd7b36,30,,0.636107,0.636107,-0.072601,2.837984,8.761691,3.359417,30,,,stateful_replay_over_full_engine_hard_pass
903,RANDOM,acdf3c9588213af097dd9fa89aa8f15cbec212dfacae35e50bd05a39233423bd,acdf3c9588213af097dd9fa89aa8f15cbec212dfacae35e50bd05a39233423bd,30,,0.346462,0.346462,-0.100288,2.306986,3.454685,2.383130,30,,,stateful_replay_over_full_engine_hard_pass
904,RANDOM,b35b54e9018bd606f6ebc353f3f76442a9f568dad219001c6d39a7c52f8208e3,b35b54e9018bd606f6ebc353f3f76442a9f568dad219001c6d39a7c52f8208e3,30,,0.324563,0.324563,-0.095011,2.170859,3.416068,1.897032,30,,,stateful_replay_over_full_engine_hard_pass
905,RANDOM,2fb31860b0714b450026466d50b74b9610b1b810af569fa5d338d4db46039878,2fb31860b0714b450026466d50b74b9610b1b810af569fa5d338d4db46039878,30,,0.540361,0.540361,-0.066784,2.852225,8.091166,2.546352,30,,,stateful_replay_over_full_engine_hard_pass
906,RANDOM,ace8e9513ffa2cd7a9f57cd8086eb72886d88263e21d579d612c98f77025ccea,ace8e9513ffa2cd7a9f57cd8086eb72886d88263e21d579d612c98f77025ccea,30,,0.362965,0.362965,-0.110454,1.561979,3.286109,1.931959,30,,,stateful_replay_over_full_engine_hard_pass
907,RANDOM,50e7cfbd56cc41a6e64adffcff836acaa9c593276c0ff586820e8348d11e5b5a,50e7cfbd56cc41a6e64adffcff836acaa9c593276c0ff586820e8348d11e5b5a,30,,0.669991,0.669991,-0.086728,2.872105,7.725170,3.694675,30,,,stateful_replay_over_full_engine_hard_pass
908,RANDOM,bc5f065245ff885421cb77ab43dbff0bbae44c0bf7e8a14a208bc24a4c22d732,bc5f065245ff885421cb77ab43dbff0bbae44c0bf7e8a14a208bc24a4c22d732,30,,0.507913,0.507913,-0.071897,2.141364,7.064458,2.876121,30,,,stateful_replay_over_full_engine_hard_pass
909,RANDOM,763285cb61c22254966abeffee8d16db5d2301b9cf21136b65cb5d88d714fe54,763285cb61c22254966abeffee8d16db5d2301b9cf21136b65cb5d88d714fe54,30,,0.503967,0.503967,-0.059078,2.642587,8.530601,2.744248,30,,,stateful_replay_over_full_engine_hard_pass
910,RANDOM,9c5a367dae8574bf39df315da268a018bb115677913bfa88819c6126679426d6,9c5a367dae8574bf39df315da268a018bb115677913bfa88819c6126679426d6,30,,0.568090,0.568090,-0.103179,2.469635,5.505874,2.972927,30,,,stateful_replay_over_full_engine_hard_pass
911,RANDOM,a4f26f7544cc5f570cf17a9547e119f909c6566372e6b2b23a1731755030a9ac,a4f26f7544cc5f570cf17a9547e119f909c6566372e6b2b23a1731755030a9ac,30,,0.385232,0.385232,-0.073509,2.360700,5.240596,2.520054,30,,,stateful_replay_over_full_engine_hard_pass
912,RANDOM,5fccc33543fe4eb406993fa4afccd676916b217d74d0157d3d5b8e622ed4626c,5fccc33543fe4eb406993fa4afccd676916b217d74d0157d3d5b8e622ed4626c,30,,0.615225,0.615225,-0.045287,2.730665,13.584934,3.324084,30,,,stateful_replay_over_full_engine_hard_pass
913,RANDOM,a212eca2aafca3d65ad38a782260fa848d085cfa0eaf1dfac711507363b61af1,a212eca2aafca3d65ad38a782260fa848d085cfa0eaf1dfac711507363b61af1,30,,0.285188,0.285188,-0.090635,1.850842,3.146568,2.049118,30,,,stateful_replay_over_full_engine_hard_pass
914,RANDOM,e1e97230f9a517cf326dc2e414dad277e2aa25a01af04ae9553146ff74e9bdb9,e1e97230f9a517cf326dc2e414dad277e2aa25a01af04ae9553146ff74e9bdb9,30,,0.103576,0.103576,-0.126538,0.470600,0.818536,1.312058,30,,,stateful_replay_over_full_engine_hard_pass
