window,date,quantile_count,quantile,candidate_count,average_future_return,average_excess_return,mfe,mae,target_hit_rate,stop_hit_rate
7,2026-05-11,5,3,3,0.080108,0.103133,0.144139,-0.074127,0.333333,1.000000
7,2026-05-11,5,4,2,0.264791,0.287816,0.309699,-0.071163,1.000000,0.500000
7,2026-06-17,5,1,2,0.062147,0.059935,0.202059,-0.025441,0.500000,0.500000
7,2026-06-17,5,2,2,-0.171114,-0.173326,0.079133,-0.180548,0.000000,1.000000
7,2026-06-17,5,3,2,-0.089500,-0.091712,0.102517,-0.115855,0.000000,1.000000
7,2026-06-17,5,4,2,0.223675,0.221462,0.258650,-0.080735,0.500000,1.000000
7,2026-06-17,5,5,2,-0.057884,-0.060097,0.149991,-0.112055,0.500000,1.000000
7,2026-06-18,5,1,3,0.018384,0.012305,0.110912,-0.128480,0.333333,0.666667
7,2026-06-18,5,2,3,-0.054806,-0.060885,0.128827,-0.169754,0.000000,1.000000
7,2026-06-18,5,3,3,0.052305,0.046226,0.158145,-0.079647,0.666667,1.000000
7,2026-06-18,5,4,2,-0.074999,-0.081078,0.050687,-0.235971,0.000000,1.000000
7,2026-06-22,5,1,3,-0.011652,0.005988,0.088717,-0.088280,0.333333,0.666667
7,2026-06-22,5,2,3,0.061387,0.079027,0.173361,-0.109001,0.666667,0.666667
7,2026-06-22,5,3,3,0.155346,0.172986,0.297566,-0.064313,1.000000,0.666667
7,2026-06-22,5,4,3,0.047871,0.065511,0.186917,-0.093101,0.666667,0.666667
7,2026-06-22,5,5,2,0.096926,0.114566,0.124289,-0.096095,0.000000,1.000000
10,2026-01-09,5,1,3,0.032711,0.046790,0.078394,-0.044840,0.333333,1.000000
10,2026-01-09,5,2,3,-0.018253,-0.004174,0.086504,-0.082893,0.333333,0.666667
10,2026-01-09,5,3,3,0.093544,0.107624,0.179347,-0.089311,0.333333,0.666667
10,2026-01-09,5,4,3,-0.041550,-0.027471,0.081140,-0.133800,0.333333,1.000000
10,2026-01-09,5,5,1,0.066804,0.080883,0.140825,-0.082474,0.000000,0.000000
10,2026-02-10,5,1,2,0.084601,0.108573,0.201400,-0.009932,1.000000,0.500000
10,2026-02-10,5,2,2,0.015211,0.039183,0.163595,-0.015876,1.000000,0.500000
10,2026-02-10,5,3,2,-0.034009,-0.010037,0.081401,-0.083904,0.500000,0.500000
10,2026-02-10,5,4,2,0.021294,0.045266,0.181619,-0.039783,0.500000,1.000000
10,2026-02-10,5,5,2,0.033942,0.057915,0.153207,-0.079957,0.500000,0.500000
10,2026-02-24,5,1,3,-0.012753,-0.004518,0.095183,-0.061387,0.333333,1.000000
10,2026-02-24,5,2,3,-0.018020,-0.009784,0.084422,-0.095247,0.333333,1.000000
10,2026-02-24,5,3,3,-0.025975,-0.017739,0.106684,-0.114546,0.333333,1.000000
10,2026-02-24,5,4,3,0.069613,0.077849,0.151536,-0.067086,0.333333,1.000000
10,2026-02-25,10,1,3,-0.083894,-0.076112,0.050986,-0.154718,0.000000,1.000000
10,2026-02-25,10,2,3,0.096767,0.104549,0.162276,-0.051287,0.333333,0.666667
10,2026-02-25,10,3,3,0.031580,0.039361,0.112632,-0.062716,0.000000,1.000000
10,2026-02-25,10,4,3,-0.007746,0.000035,0.071255,-0.063465,0.000000,1.000000
10,2026-02-25,10,5,3,0.061224,0.069005,0.172186,-0.055464,0.333333,0.666667
10,2026-02-25,10,6,3,0.030460,0.038242,0.101014,-0.089595,0.666667,1.000000
10,2026-02-25,10,7,3,0.099308,0.107090,0.164636,-0.030831,0.666667,1.000000
10,2026-02-25,10,8,1,0.093291,0.101073,0.206499,-0.104822,1.000000,1.000000
10,2026-02-26,5,1,4,-0.091800,-0.089514,0.035111,-0.133465,0.000000,1.000000
10,2026-02-26,5,2,4,0.013089,0.015375,0.078275,-0.095568,0.000000,1.000000
10,2026-02-26,5,3,4,-0.036923,-0.034637,0.101166,-0.102920,0.000000,1.000000
10,2026-02-26,5,4,4,0.127198,0.129484,0.291314,-0.043342,0.750000,1.000000
10,2026-02-26,5,5,3,-0.079339,-0.077053,0.039023,-0.118640,0.000000,1.000000
10,2026-04-09,5,1,2,-0.139912,-0.181562,0.031852,-0.144081,0.000000,1.000000
10,2026-04-09,5,2,2,0.054437,0.012787,0.125511,-0.034145,0.000000,0.500000
10,2026-04-09,5,3,2,0.309357,0.267707,0.403024,-0.043499,1.000000,0.000000
10,2026-04-09,5,4,2,0.296904,0.255253,0.335979,-0.091983,1.000000,0.500000
10,2026-04-09,5,5,2,0.105227,0.063577,0.189877,-0.030940,1.000000,0.000000
10,2026-04-10,5,1,2,0.071611,0.038191,0.126582,-0.039971,0.500000,0.500000
10,2026-04-10,5,2,2,0.037200,0.003780,0.141418,-0.034822,0.500000,0.500000
10,2026-04-10,5,3,2,-0.057097,-0.090517,0.018208,-0.098048,0.000000,0.500000
10,2026-04-10,5,4,2,0.352924,0.319504,0.462863,-0.030863,1.000000,0.000000
10,2026-04-10,5,5,2,0.008558,-0.024861,0.161340,-0.045629,0.500000,0.500000
10,2026-05-06,5,1,3,-0.108205,-0.098993,0.027463,-0.129334,0.000000,1.000000
10,2026-05-06,5,2,3,0.039368,0.048580,0.118308,-0.092682,0.333333,0.666667
10,2026-05-06,5,3,3,0.040745,0.049957,0.176424,-0.040963,1.000000,0.333333
10,2026-05-06,5,4,3,0.000597,0.009809,0.096931,-0.083614,0.333333,0.333333
10,2026-05-06,5,5,2,-0.017527,-0.008315,0.140801,-0.099535,0.500000,1.000000
