date,code,name,industry,market_regime,eligible,market_ok,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,rejection_reason,shares,stop,target,rr,reasons
2026-02-25,603612,索通发展,制造业,BULL,1,1,92.000000,0.952679,92.952679,40.000000,20.000000,20.000000,12.000000,85.877983,60.000000,1,31,1,,400,30.899400,38.950714,2.194205,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=28.97|rs60=39.79|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-25,002297,博云新材,制造业,BULL,1,1,87.000000,0.952679,87.952679,35.000000,20.000000,20.000000,12.000000,85.877983,60.000000,1,85,1,,600,12.945800,15.470714,2.690316,MA20>MA60|MA60>MA120|close>MA20|rs20=13.89|rs60=51.42|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-25,000875,电投绿能,电力、热力、燃气及水生产和供应业,BULL,1,1,87.000000,0.362326,87.362326,35.000000,20.000000,20.000000,12.000000,76.038775,60.000000,1,104,1,,2100,7.144200,8.577143,2.917285,MA20>MA60|MA60>MA120|close>MA20|rs20=13.26|rs60=30.21|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-05,000591,太阳能,电力、热力、燃气及水生产和供应业,BULL,1,1,85.000000,1.352000,86.352000,35.000000,20.000000,10.000000,20.000000,92.533333,60.000000,1,64,1,,2600,5.811400,6.792143,2.792509,MA20>MA60|MA60>MA120|close>MA20|rs20=9.50|rs60=33.03|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-05,600863,华能蒙电,电力、热力、燃气及水生产和供应业,BULL,1,1,85.000000,1.352000,86.352000,35.000000,20.000000,10.000000,20.000000,92.533333,60.000000,1,66,1,,900,5.115600,5.733571,2.543414,MA20>MA60|MA60>MA120|close>MA20|rs20=11.24|rs60=12.45|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-05,300215,电科院,科学研究和技术服务业,BULL,1,1,80.000000,0.000000,80.000000,40.000000,20.000000,15.000000,5.000000,0.000000,60.000000,1,138,1,,1300,9.927400,12.822143,2.652212,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=28.35|rs60=33.63|up_volume_confirm|volume_not_exhausted|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-05,002270,华明装备,制造业,BULL,1,1,77.000000,0.105197,77.105197,35.000000,20.000000,10.000000,12.000000,71.753280,60.000000,1,173,1,,400,34.594000,42.257143,3.491877,MA20>MA60|MA60>MA120|close>MA20|rs20=20.31|rs60=46.43|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-11,002056,横店东磁,制造业,BULL,1,1,95.000000,0.338855,95.338855,35.000000,20.000000,20.000000,20.000000,75.647587,60.000000,1,11,1,,300,21.912800,25.442143,2.847953,MA20>MA60|MA60>MA120|close>MA20|rs20=13.03|rs60=16.17|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-12,600666,奥瑞德,制造业,BULL,1,1,92.000000,0.126735,92.126735,40.000000,20.000000,20.000000,12.000000,72.112257,60.000000,1,17,1,,1800,4.155200,5.035714,2.455708,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=25.88|rs60=28.28|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-16,300279,和晶科技,制造业,BULL,1,1,87.000000,0.210543,87.210543,40.000000,20.000000,15.000000,12.000000,73.509047,60.000000,1,18,1,,1100,10.319400,13.208571,2.208052,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=25.32|rs60=56.07|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
