code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count
603876,鼎胜新材,2026-04-14,2026-04-23,24.61897,24.087950000000003,600,-318.61199999999883,22.518626519999998,-341.1306265199988,9,strategy_v5_alpha_ranked_entry,time_stop,10.14771382,12.3709127,2
300201,海伦哲,2026-04-16,2026-04-23,12.126059999999999,11.644175,300,-144.5654999999995,11.74662625,-156.3121262499995,7,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,6.74662625,1
603158,腾龙股份,2026-04-15,2026-04-24,13.46673,13.09345,1000,-373.2799999999994,16.8123268,-390.0923267999994,9,strategy_v5_alpha_ranked_entry,time_stop,5.1346673,11.6776595,1
002246,北化股份,2026-04-21,2026-04-24,27.063525,24.927530000000004,300,-640.7984999999983,13.7391295,-654.5376294999983,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,8.7391295,1
300184,力源信息,2026-04-17,2026-04-30,12.16608,13.123435,1600,1531.7680000000023,25.748122,1506.0198780000023,13,strategy_v5_alpha_ranked_entry,three_bars_no_high,10.0,15.748121999999999,2
301358,湖南裕能,2026-04-28,2026-04-30,95.12754,104.9475,100,981.9960000000009,15.247375,966.7486250000009,2,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,10.247375,1
002709,天赐材料,2026-04-28,2026-05-07,56.52825,63.62817,100,709.9919999999997,13.1814085,696.8105914999998,9,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,8.1814085,1
300432,富临精工,2026-05-06,2026-05-11,28.234109999999998,27.156415000000003,500,-538.8474999999975,16.789103750000002,-555.6366037499974,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,11.78910375,1
600546,山煤国际,2026-04-28,2026-05-12,13.014503999999999,13.69315,1500,1017.9690000000007,25.80540856,992.1635914400007,14,strategy_v5_alpha_ranked_entry,three_bars_no_high,10.19521756,15.610191,2
603520,司太立,2026-04-28,2026-05-13,11.705849999999998,11.884055000000002,1300,231.66650000000485,18.031304515000002,213.63519548500483,15,strategy_v5_alpha_ranked_entry,time_stop,5.15217605,12.879128465,1
600527,江南高纤,2026-05-06,2026-05-13,3.0955469999999994,3.088455,4000,-28.36799999999684,21.42427008,-49.79227007999684,7,strategy_v5_alpha_ranked_entry,close_stop,10.12382188,11.300448200000002,2
002831,裕同科技,2026-05-12,2026-05-18,41.130554999999994,41.17940000000001,300,14.653500000004271,16.176910000000003,-1.5234099999957316,6,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,11.176910000000003,1
300166,东方国信,2026-05-08,2026-05-19,19.099545,19.999995000000002,800,720.3600000000023,17.999998,702.3600020000023,11,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,12.999998000000001,1
603912,佳力图,2026-05-14,2026-05-19,11.995994999999999,11.184405,1200,-973.9079999999988,16.9888078,-990.8968077999988,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.14395194,11.844855860000001,1
003816,中国广核,2026-05-13,2026-05-21,4.787392499999999,4.55772,4400,-1010.5589999999978,25.040476,-1035.5994759999978,8,strategy_v5_alpha_ranked_entry,close_stop,10.0,15.040476000000002,2
688690,纳微科技,2026-05-14,2026-05-22,35.247614999999996,34.88255,400,-146.02599999999768,17.25703066,-163.28303065999768,8,strategy_v5_alpha_ranked_entry,close_stop,5.14099046,12.1160402,1
300166,东方国信,2026-05-20,2026-05-22,21.740865,18.87056,400,-1148.1219999999994,13.774112,-1161.8961119999994,2,strategy_v5_alpha_ranked_entry,close_stop,5.0,8.774112,1
688191,智洋创新,2026-05-20,2026-05-22,57.48873,52.21388,200,-1054.9699999999987,15.440793220000002,-1070.4107932199986,2,strategy_v5_alpha_ranked_entry,close_stop,5.11497746,10.325815760000001,1
000006,深振业A,2026-05-20,2026-05-25,11.215605,10.884555,1300,-430.3649999999992,17.074960750000002,-447.4399607499992,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,12.07496075,1
300536,农尚环境,2026-05-27,2026-05-28,12.236115,11.374310000000001,1200,-1034.1659999999983,16.824586,-1050.9905859999983,1,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.824586,1
300199,翰宇药业,2026-05-26,2026-05-29,25.062525,24.497745000000002,600,-338.86799999999937,17.3493235,-356.2173234999994,3,strategy_v5_alpha_ranked_entry,close_stop,5.0,12.3493235,1
301458,钧崴电子,2026-05-26,2026-05-29,46.473225,48.55571,200,416.4969999999997,14.855571000000001,401.6414289999997,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,9.855571000000001,1
300221,银禧科技,2026-05-26,2026-06-02,13.366679999999999,13.373310000000002,1100,7.293000000003325,17.3553205,-10.062320499996677,7,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,12.355320500000001,1
002636,金安国纪,2026-06-01,2026-06-02,53.0265,49.565205000000006,200,-692.2589999999985,14.9565205,-707.2155204999985,1,strategy_v5_alpha_ranked_entry,close_stop,5.0,9.9565205,1
688478,晶升股份,2026-06-02,2026-06-03,62.031,61.679145000000005,100,-35.18549999999934,13.207667395000001,-48.39316739499934,1,strategy_v5_alpha_ranked_entry,close_stop,5.062031,8.145636395,1
002815,崇达技术,2026-05-27,2026-06-04,17.008499999999998,16.591700000000003,100,-41.679999999999495,10.829585,-52.5095849999995,8,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,5.829585,1
301458,钧崴电子,2026-06-03,2026-06-08,49.6248,59.760105,100,1013.5305000000003,12.98800525,1000.5424947500003,5,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,7.9880052500000005,1
601101,昊华能源,2026-06-01,2026-06-09,12.208101,12.53373,1500,488.44350000000156,24.771424965,463.67207503500157,8,strategy_v5_alpha_ranked_entry,three_bars_no_high,10.183121515,14.588303450000002,2
301228,实朴检测,2026-06-03,2026-06-15,72.87642,75.75210500000001,200,575.1370000000037,17.5752105,557.5617895000037,12,strategy_v5_alpha_ranked_entry,close_stop,5.0,12.5752105,1
600483,福能股份,2026-06-04,2026-06-15,11.591348333333332,11.514240000000001,900,-69.3974999999984,20.389358295,-89.78685829499841,11,strategy_v5_alpha_ranked_entry,time_stop,10.104322135,10.28503616,2
600888,新疆众和,2026-06-09,2026-06-15,10.52526,11.064465,500,269.6025000000004,12.874064874999998,256.72843512500043,6,strategy_v5_alpha_ranked_entry,close_stop,5.0526263,7.821438574999999,1
300398,飞凯材料,2026-06-10,2026-06-15,42.411195,41.47925,200,-186.38899999999978,14.147925,-200.53692499999977,5,strategy_v5_alpha_ranked_entry,close_stop,5.0,9.147925,1
300400,劲拓股份,2026-06-10,2026-06-16,35.927955,41.979,300,1815.3135000000007,16.29685,1799.0166500000007,6,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,11.29685,1
600906,财达证券,2026-06-16,2026-06-22,7.263629999999999,7.2063950000000006,2100,-120.19349999999704,17.870585275,-138.06408527499704,6,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.15253623,12.718049045,1
002815,崇达技术,2026-06-17,2026-06-24,19.229609999999997,17.43128,100,-179.83299999999963,10.871564,-190.70456399999964,7,strategy_v5_alpha_ranked_entry,close_stop,5.0,5.871564,1
300568,星源材质,2026-06-17,2026-06-25,19.409699999999997,18.360815000000002,500,-524.4424999999975,14.59020375,-539.0327037499975,8,strategy_v5_alpha_ranked_entry,close_stop,5.0,9.59020375,1
300679,电连技术,2026-06-17,2026-06-25,62.77137,68.40578000000001,200,1126.8820000000019,16.840578,1110.0414220000018,8,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,11.840578,1
003022,联泓新科,2026-06-17,2026-06-26,28.164074999999997,26.996495000000003,400,-467.03199999999754,15.399299000000001,-482.4312989999975,9,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,10.399299000000001,1
002536,飞龙股份,2026-06-26,2026-06-29,51.525749999999995,47.526225,300,-1199.8574999999996,17.128933749999998,-1216.9864337499996,3,strategy_v5_alpha_ranked_entry,close_stop,5.0,12.128933749999998,1
300252,金信诺,2026-06-23,2026-06-30,18.249119999999998,16.621685,200,-325.4869999999997,11.6621685,-337.1491684999997,7,strategy_v5_alpha_ranked_entry,close_stop,5.0,6.6621685,1
002056,横店东磁,2026-06-29,2026-06-30,30.23511,28.815585,300,-425.8575000000001,14.322337749999999,-440.17983775000005,1,strategy_v5_alpha_ranked_entry,close_stop,5.0,9.322337749999999,1
300382,斯莱克,2026-06-26,2026-07-01,19.059525,22.918535000000002,400,1543.6040000000005,14.583707,1529.0202930000005,5,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,9.583707,1
600246,万通发展,2026-06-26,2026-07-02,19.68984,16.931530000000002,700,-1930.8169999999986,16.18238509,-1946.9993850899987,6,strategy_v5_alpha_ranked_entry,close_stop,5.13782888,11.044556210000001,1
688216,气派科技,2026-07-02,2026-07-06,42.24111,40.709635,300,-459.4425000000001,16.355297485,-475.7977974850001,4,strategy_v5_alpha_ranked_entry,close_stop,5.12672333,11.228574155,1
002824,和胜股份,2026-07-03,2026-07-06,32.67632999999999,32.093945,100,-58.238499999999505,11.604697250000001,-69.8431972499995,3,strategy_v5_alpha_ranked_entry,close_stop,5.0,6.60469725,1
600030,中信证券,2026-07-02,2026-07-07,29.384685,29.12543,500,-129.62749999999977,17.573908075,-147.20140807499976,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.146923425,12.42698465,1
000970,中科三环,2026-07-02,2026-07-09,15.926959499999999,15.03248,1000,-894.4794999999992,22.51624,-916.9957399999993,7,strategy_v5_alpha_ranked_entry,end_of_backtest,10.0,12.51624,2
