code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,reasons
600388,2026-02-13,2026-03-05,55.051411,close_stop,2026-02-12,1,100.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=21.91|rs60=15.95|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603612,2026-02-26,2026-03-05,213.449762,three_bars_no_high,2026-02-25,1,92.952679,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=28.97|rs60=39.79|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300215,2026-03-06,2026-03-11,73.365948,three_bars_no_high,2026-03-05,3,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=28.35|rs60=33.63|up_volume_confirm|volume_not_exhausted|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002270,2026-03-06,2026-03-12,0.359610,three_bars_no_high,2026-03-05,4,77.105197,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=20.31|rs60=46.43|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000875,2026-02-26,2026-03-16,1456.168984,three_bars_no_high,2026-02-25,6,87.362326,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.26|rs60=30.21|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000591,2026-03-06,2026-03-17,-397.617094,close_stop,2026-03-05,1,86.352000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=9.50|rs60=33.03|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600863,2026-03-06,2026-03-17,-98.140063,time_stop,2026-03-05,2,86.352000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=11.24|rs60=12.45|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002056,2026-03-12,2026-03-17,232.889374,close_stop,2026-03-11,1,95.338855,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.03|rs60=16.17|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600666,2026-03-13,2026-03-18,-435.454253,close_stop,2026-03-12,1,92.126735,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=25.88|rs60=28.28|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600667,2026-03-18,2026-03-23,-2111.015128,close_stop,2026-03-17,1,70.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=19.04|rs60=49.43|up_volume_confirm|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300279,2026-03-17,2026-03-24,-1635.337578,close_stop,2026-03-16,1,87.210543,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=25.32|rs60=56.07|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601991,2026-03-20,2026-03-24,-212.523311,close_stop,2026-03-19,2,72.601351,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=15.14|rs60=16.40|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
601225,2026-03-23,2026-03-27,-626.111403,three_bars_no_high,2026-03-20,1,100.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=19.40|rs60=24.08|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300231,2026-03-26,2026-03-30,-832.818763,close_stop,2026-03-25,1,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=15.16|rs60=25.55|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000509,2026-03-26,2026-03-30,-1502.508704,close_stop,2026-03-25,3,70.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=34.96|rs60=33.33|up_volume_confirm|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000968,2026-03-30,2026-04-01,-187.610246,close_stop,2026-03-27,3,75.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=38.95|rs60=77.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603977,2026-03-30,2026-04-02,58.751116,three_bars_no_high,2026-03-27,1,82.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=14.52|rs60=19.08|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603738,2026-03-31,2026-04-03,-484.555674,close_stop,2026-03-30,1,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=17.07|rs60=75.40|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603876,2026-03-31,2026-04-03,-61.404404,three_bars_no_high,2026-03-30,2,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=21.64|rs60=72.13|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002980,2026-03-26,2026-04-08,4398.469625,target_close_confirmed,2026-03-25,2,75.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=65.46|rs60=95.15|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
301312,2026-04-03,2026-04-13,1000.104402,three_bars_no_high,2026-04-02,1,75.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=21.86|rs60=110.08|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002840,2026-04-03,2026-04-14,93.721890,three_bars_no_high,2026-04-02,2,72.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=24.60|rs60=23.17|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300531,2026-04-09,2026-04-14,-402.045523,three_bars_no_high,2026-04-08,1,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=26.56|rs60=18.11|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603118,2026-04-09,2026-04-15,-7.330217,three_bars_no_high,2026-04-08,3,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=12.49|rs60=21.70|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600602,2026-04-09,2026-04-16,-271.942972,close_stop,2026-04-08,2,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.79|rs60=35.76|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002638,2026-04-15,2026-04-20,-61.676724,three_bars_no_high,2026-04-14,2,77.747896,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=16.24|rs60=55.13|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
