candidate_id,date,code,name,industry,market_regime,eligible,market_ok,alpha_pass,entry_pass,regime_pass,sector_data_status,four_no_pass,stop_valid,rr_pass,position_neutral_sizing_feasible,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,reason_code,order_intent_id,pending_order_id,requested_shares,shares,signal_close,planned_stop,planned_target,ex_ante_rr,initial_risk_cash,stop,target,rr,reason_codes,reasons
cand_8c61f5c6d42850dd,2026-04-20,300499,高澜股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,79.000000,1.288942,80.288942,35.000000,20.000000,20.000000,4.000000,91.482364,60.000000,1,2,0,capacity,,,300,0,44.970000,41.895000,52.114286,2.323345,922.500000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=10.43|rs60=35.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_d0861eb0efa04d72,2026-04-20,603296,华勤技术,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,1.288942,78.288942,25.000000,20.000000,20.000000,12.000000,91.482364,60.000000,1,3,0,capacity,,,100,0,103.000000,97.020000,116.530000,2.262542,598.000000,,,,ok,MA20>MA60|close>MA20|rs20=14.48|rs60=7.47|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_c7adf08c9aa4eb0b,2026-04-21,688388,嘉元科技,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.122126,88.122126,35.000000,20.000000,20.000000,12.000000,88.702107,60.000000,1,1,0,capacity,,,200,0,50.940000,47.824000,58.294286,2.360169,623.200000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=32.49|rs60=9.74|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_47a26482551f9960,2026-04-21,600522,中天科技,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,1.122126,78.122126,35.000000,20.000000,10.000000,12.000000,88.702107,60.000000,1,2,0,capacity,,,400,0,32.440000,30.164400,37.876429,2.389009,910.240000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=21.32|rs60=74.30|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_04721299d68ec6e9,2026-04-21,002491,通鼎互联,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,75.000000,1.122126,76.122126,35.000000,20.000000,20.000000,0.000000,88.702107,60.000000,1,3,0,capacity,,,800,0,16.750000,15.983800,20.870714,5.378118,612.960000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=69.89|rs60=177.01|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_6bd2b12926ccf17b,2026-04-21,603601,再升科技,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,75.000000,1.122126,76.122126,35.000000,20.000000,20.000000,0.000000,88.702107,60.000000,1,4,0,capacity,,,600,0,16.260000,14.758800,19.399286,2.091184,900.720000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=44.04|rs60=63.31|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_be4eb06daae20d02,2026-04-21,603268,松发股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,69.000000,1.122126,70.122126,35.000000,20.000000,10.000000,4.000000,88.702107,60.000000,1,5,0,capacity,,,100,0,141.500000,134.064000,160.845714,2.601629,743.600000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=12.40|rs60=60.95|up_volume_confirm|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_8afefc7ecd3e3267,2026-04-22,002245,蔚蓝锂芯,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.310845,88.310845,35.000000,20.000000,20.000000,12.000000,91.847409,60.000000,1,1,0,capacity,,,700,0,20.640000,19.854800,23.117143,3.154792,549.640000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=10.15|rs60=12.34|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_cb91923aa3b3dd5b,2026-04-22,300769,德方纳米,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,1.310845,78.310845,25.000000,20.000000,20.000000,12.000000,91.847409,60.000000,1,2,0,capacity,,,300,0,49.640000,47.334000,56.270000,2.875108,691.800000,,,,ok,MA20>MA60|close>MA20|rs20=2.56|rs60=9.16|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_09ac60150e0305fd,2026-04-22,301479,弘景光电,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,69.000000,1.310845,70.310845,35.000000,20.000000,10.000000,4.000000,91.847409,60.000000,1,3,0,capacity,,,100,0,111.630000,105.183400,129.897857,2.833720,644.660000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=7.23|rs60=19.76|volume_not_exhausted|pullback_volume_control|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_82134d364b3a8b38,2026-04-23,300054,鼎龙股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,0.935680,87.935680,40.000000,20.000000,15.000000,12.000000,85.594672,60.000000,1,1,1,ok,intent_3fbf510a05016e15,pend_5b504930cf86d3ee,200,200,55.950000,52.557400,63.250714,2.151953,678.520000,52.557400,63.250714,2.151953,ok,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=14.58|rs60=17.64|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_42b6f2ae247e208c,2026-04-23,003036,泰坦股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,80.000000,0.935680,80.935680,35.000000,20.000000,20.000000,5.000000,85.594672,60.000000,1,2,1,ok,intent_83d8244959b0c87b,pend_008f8bb31fae1048,300,300,30.540000,27.832000,36.231429,2.101709,812.400000,27.832000,36.231429,2.101709,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=25.76|rs60=84.11|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_0465de0529df98c1,2026-04-23,300069,金利华电,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,80.000000,0.935680,80.935680,35.000000,20.000000,20.000000,5.000000,85.594672,60.000000,1,3,0,capacity,,,400,0,24.810000,22.569400,29.910000,2.276176,896.240000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=8.17|rs60=21.76|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_b5ff5ffdf20afc40,2026-04-23,600126,杭钢股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,80.000000,0.935680,80.935680,35.000000,20.000000,20.000000,5.000000,85.594672,60.000000,1,4,0,capacity,,,1400,0,10.430000,9.770600,12.339286,2.895489,923.160000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=15.37|rs60=20.99|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_f20c47c613c172b4,2026-04-23,002353,杰瑞股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,79.000000,0.935680,79.935680,35.000000,20.000000,20.000000,4.000000,85.594672,60.000000,1,5,0,capacity,,,100,0,130.390000,123.088000,151.820714,2.934910,730.200000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=24.50|rs60=52.01|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_ae1cf132f8f7d127,2026-04-23,300866,安克创新,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,0.935680,77.935680,25.000000,20.000000,20.000000,12.000000,85.594672,60.000000,1,6,0,capacity,,,100,0,122.000000,115.159800,138.701429,2.441658,684.020000,,,,ok,MA20>MA60|close>MA20|rs20=5.24|rs60=11.47|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_ead88db522c48b17,2026-04-23,300292,吴通控股,信息传输、软件和信息技术服务业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,0.535564,77.535564,35.000000,20.000000,10.000000,12.000000,78.926066,60.000000,1,7,0,capacity,,,2700,0,5.450000,5.233200,6.120714,3.093701,585.360000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=7.12|rs60=18.88|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_7c4df21d88c16cef,2026-04-24,300054,鼎龙股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,0.932732,87.932732,35.000000,20.000000,20.000000,12.000000,85.545541,60.000000,1,1,0,risk_or_position,,,200,0,57.000000,54.096000,64.204286,2.480815,580.800000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=19.50|rs60=21.73|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_5b747a3b486db20d,2026-04-27,002709,天赐材料,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.039065,88.039065,35.000000,20.000000,20.000000,12.000000,87.317757,60.000000,1,1,1,ok,intent_77bd4db3fc4f8146,pend_1721a060af062909,200,200,55.260000,51.205000,63.857143,2.120134,811.000000,51.205000,63.857143,2.120134,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=13.88|rs60=25.77|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_6f6cc980b8b9ab59,2026-04-27,301358,湖南裕能,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.039065,88.039065,35.000000,20.000000,20.000000,12.000000,87.317757,60.000000,1,2,1,ok,intent_65aff3b2ec3f18af,pend_922463cbfbaa4046,100,100,89.870000,85.015000,103.029286,2.710460,485.500000,85.015000,103.029286,2.710460,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=6.66|rs60=34.00|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_1348a25ee431b2a7,2026-04-27,603520,司太立,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,85.000000,1.039065,86.039065,35.000000,20.000000,10.000000,20.000000,87.317757,60.000000,1,3,1,ok,intent_a5a0b0f3a89b888b,pend_d65972ca7cd9e1a9,1300,1300,11.750000,11.417000,13.044286,3.886744,399.600000,11.417000,13.044286,3.886744,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=1.84|rs60=8.00|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_01aa65d4968ba638,2026-04-27,600546,山煤国际,采矿业,BULL,1,1,1,1,1,mapped,1,1,1,1,85.000000,0.000000,85.000000,35.000000,20.000000,10.000000,20.000000,67.256887,60.000000,1,4,1,ok,intent_48d0df8cb8b9a9cc,pend_3082b29a0e7bc998,1200,1200,12.890000,12.318600,14.147857,2.201360,628.540000,12.318600,14.147857,2.201360,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=3.09|rs60=18.35|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_5ef17b20b12dab59,2026-04-27,002812,恩捷股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,82.000000,1.039065,83.039065,35.000000,20.000000,15.000000,12.000000,87.317757,60.000000,1,5,0,capacity,,,100,0,80.850000,78.409800,92.554286,4.796445,244.020000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=6.07|rs60=57.65|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
