decision_date,code,side,reason,candidate_id,order_intent_id,pending_order_id,requested_shares,shares,signal_date,signal_regime,signal_close,planned_stop,planned_target,rr,initial_risk_cash
2026-02-09,300739,buy,strategy_v5_alpha_ranked_entry,cand_69e00d7dd88d239b,intent_6fbafeb829367332,pend_10b777c5c8d0c777,700,700,2026-02-09,BULL,20.710000,19.541200,23.300000,2.215948,818.160000
2026-02-09,603876,buy,strategy_v5_alpha_ranked_entry,cand_e87ae7d2ea64838f,intent_349f4d2fd5e13361,pend_f330ecb1216a1d4a,800,800,2026-02-09,BULL,18.350000,17.659600,21.320000,4.301854,552.320000
2026-02-09,001896,buy,strategy_v5_alpha_ranked_entry,cand_1c83a73d5dfe7b57,intent_5096165b10e40413,pend_4efa872e24447861,2200,2200,2026-02-09,BULL,6.770000,6.438600,7.524286,2.276058,729.080000
2026-02-10,600233,sell,three_bars_no_high,cand_605e77e38be63654,intent_aab73cd569998b2b,pend_aab73cd569998b2b,800,800,2026-02-10,BULL,17.920000,17.346000,19.702857,0.000000,450.360000
2026-02-10,603876,add,pyramid_add,cand_e87ae7d2ea64838f,intent_f3b11d566ed79bde,pend_969e03290f6601d5,200,200,2026-02-10,BULL,18.800000,17.679200,21.806429,2.682395,224.160000
2026-02-10,300408,buy,strategy_v5_alpha_ranked_entry,cand_e1233d32cdafcfb8,intent_6da22227eb6b082f,pend_c97daf03aa4d408d,100,100,2026-02-10,BULL,56.750000,53.704000,64.115000,2.417925,304.600000
2026-02-11,001896,sell,target_close_confirmed,cand_1c83a73d5dfe7b57,intent_2ca93b65e611733e,pend_2ca93b65e611733e,2200,2200,2026-02-11,BULL,7.540000,6.974286,7.524286,0.000000,802.560000
2026-02-11,300738,buy,strategy_v5_alpha_ranked_entry,cand_29debcf2b6bc58c2,intent_4befd1f8e998b36b,pend_684aacc00782e571,600,600,2026-02-11,BULL,25.280000,23.794400,29.690000,2.968498,891.360000
2026-02-12,300738,add,pyramid_add,cand_29debcf2b6bc58c2,intent_05b0b94b63ff4bd4,pend_04cf70dd696d7196,200,200,2026-02-12,BULL,26.600000,24.568600,31.792143,2.555943,406.280000
2026-02-12,600388,buy,strategy_v5_alpha_ranked_entry,cand_2be882fe46977565,intent_00b1d62912cd678d,pend_22f7d7df0f720d06,100,100,2026-02-12,BULL,19.010000,18.198600,21.116429,2.596042,81.140000
2026-02-24,300739,sell,target_close_confirmed,cand_69e00d7dd88d239b,intent_638f9dd1201d825f,pend_638f9dd1201d825f,700,700,2026-02-24,BULL,25.030000,22.521429,23.300000,0.000000,622.307000
2026-02-24,300408,sell,target_close_confirmed,cand_e1233d32cdafcfb8,intent_9f62815ea500eeb5,pend_9f62815ea500eeb5,100,100,2026-02-24,BULL,65.970000,59.612857,64.115000,0.000000,235.401500
2026-02-24,300738,sell,close_stop,cand_29debcf2b6bc58c2,intent_3c14f0f5bb78498d,pend_3c14f0f5bb78498d,700,700,2026-02-24,BULL,23.800000,24.568600,31.792143,0.000000,999.245000
2026-02-25,603612,buy,strategy_v5_alpha_ranked_entry,cand_8bbde6c8324f7ab8,intent_2b01aa146ea88989,pend_d029a37b785f852e,400,400,2026-02-25,BULL,33.420000,30.899400,38.950714,2.194205,1008.240000
2026-02-25,002297,buy,strategy_v5_alpha_ranked_entry,cand_bb7b342f9082c168,intent_52d8a1edb4d822fe,pend_f8d2605cac5f106e,600,600,2026-02-25,BULL,13.630000,12.945800,15.470714,2.690316,410.520000
2026-02-25,000875,buy,strategy_v5_alpha_ranked_entry,cand_b81067ed34d167bd,intent_d015c296bf6a19b0,pend_7c81f3ee63cb101f,2100,2100,2026-02-25,BULL,7.510000,7.144200,8.577143,2.917285,768.180000
2026-02-26,000875,add,pyramid_add,cand_b81067ed34d167bd,intent_0252b02342575bac,pend_0fbbd0245355a070,700,700,2026-02-26,BULL,7.600000,7.261800,8.701429,3.256737,236.740000
