date,hard_pass,already_in_position,risk_halted,ranked,sector_cap_rejected,gross_exposure_rejected,cash_rejected,lot_size_rejected,max_positions_rejected,pending,open_limit_blocked,filled,completed_trade
2026-05-26,2,0,0,2,0,0,0,0,0,1,0,1,1
2026-05-27,3,0,0,3,0,0,0,0,0,0,0,0,0
2026-05-28,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-05-29,3,0,0,3,0,0,0,0,0,2,0,0,0
2026-06-01,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-06-02,5,0,0,5,0,0,0,0,0,5,0,4,4
2026-06-03,4,0,0,4,0,0,0,0,0,1,0,1,1
2026-06-04,4,0,0,4,0,0,0,0,0,0,0,0,0
2026-06-05,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-06-08,2,0,0,2,0,0,0,0,0,1,0,1,1
2026-06-09,2,0,0,2,0,0,0,0,0,2,0,2,2
2026-06-10,6,0,0,6,0,0,0,0,0,0,0,0,0
2026-06-11,2,0,0,2,0,0,0,0,0,1,0,1,1
2026-06-12,3,0,0,3,0,0,0,0,0,0,0,0,0
2026-06-15,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-06-16,9,0,0,9,0,0,0,0,0,3,0,3,3
2026-06-17,10,0,0,10,0,0,0,0,0,1,0,1,1
2026-06-18,11,0,0,11,0,0,0,0,0,0,0,0,0
2026-06-22,14,0,0,14,0,0,0,0,0,1,0,1,1
2026-06-23,3,0,0,3,0,0,0,0,0,0,0,0,0
2026-06-24,2,0,0,2,0,0,0,0,0,0,0,0,0
2026-06-25,3,0,0,3,0,0,0,0,0,2,0,2,2
2026-06-26,6,0,0,6,0,0,0,0,0,2,0,2,2
2026-06-29,5,0,0,5,0,0,0,0,0,1,0,1,1
2026-06-30,6,0,0,6,0,0,0,0,0,0,0,0,0
2026-07-01,11,0,0,11,0,0,0,0,0,1,0,1,1
2026-07-02,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-07-03,2,0,0,2,0,0,0,0,0,0,0,0,0
2026-07-06,2,0,0,2,0,0,0,0,0,0,0,0,0
2026-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-09,1,0,0,1,0,0,0,0,0,1,0,0,0
