run,trade_count,total_return_proxy,cagr_proxy,max_drawdown_proxy,sharpe_proxy,profit_factor,win_rate,cluster_expectancy
188,409,0.028601,0.360374,-0.420085,0.412074,1.395310,0.449878,0.028601
189,409,0.035475,0.446983,-0.376111,0.484644,1.483168,0.449878,0.035475
190,409,0.033701,0.424637,-0.420085,0.463212,1.462237,0.452323,0.033701
191,409,0.022457,0.282964,-0.420085,0.317181,1.297103,0.435208,0.022457
192,409,0.031470,0.396527,-0.355552,0.453115,1.455475,0.444988,0.031470
193,409,0.030424,0.383342,-0.355552,0.436487,1.428103,0.452323,0.030424
194,409,0.031068,0.391458,-0.376111,0.436824,1.430717,0.452323,0.031068
195,409,0.030730,0.387201,-0.376111,0.422737,1.411366,0.444988,0.030730
196,409,0.037031,0.466594,-0.355552,0.498217,1.528157,0.444988,0.037031
197,409,0.039786,0.501299,-0.355552,0.530663,1.546568,0.447433,0.039786
198,409,0.035045,0.441565,-0.420085,0.468906,1.470352,0.449878,0.035045
199,409,0.028847,0.363468,-0.376111,0.397892,1.388121,0.432763,0.028847
200,409,0.034507,0.434793,-0.355552,0.463698,1.466178,0.447433,0.034507
201,409,0.036405,0.458705,-0.355552,0.510115,1.513206,0.444988,0.036405
202,409,0.030415,0.383226,-0.355552,0.423270,1.412026,0.440098,0.030415
203,409,0.026943,0.339477,-0.386988,0.387575,1.367854,0.440098,0.026943
204,409,0.030857,0.388798,-0.420085,0.435585,1.414296,0.452323,0.030857
205,409,0.038668,0.487216,-0.355552,0.534766,1.560595,0.464548,0.038668
206,409,0.021071,0.265497,-0.420085,0.299902,1.272322,0.432763,0.021071
207,409,0.031138,0.392339,-0.420085,0.425290,1.421205,0.442543,0.031138
208,409,0.038940,0.490642,-0.420085,0.517884,1.528934,0.454768,0.038940
209,409,0.019960,0.251494,-0.420085,0.284965,1.263118,0.430318,0.019960
210,409,0.031125,0.392172,-0.420085,0.430299,1.429896,0.442543,0.031125
211,409,0.022655,0.285450,-0.420085,0.319708,1.291345,0.442543,0.022655
212,409,0.032629,0.411131,-0.420085,0.447283,1.447213,0.444988,0.032629
213,409,0.033940,0.427641,-0.386988,0.450804,1.455709,0.437653,0.033940
214,409,0.025453,0.320706,-0.376111,0.376135,1.348478,0.442543,0.025453
215,409,0.034487,0.434536,-0.420085,0.453176,1.455494,0.447433,0.034487
216,409,0.034879,0.439476,-0.355552,0.470164,1.475524,0.449878,0.034879
217,409,0.036943,0.465485,-0.355552,0.496004,1.503065,0.442543,0.036943
218,409,0.027631,0.348145,-0.420085,0.374021,1.360157,0.425428,0.027631
219,409,0.030189,0.380382,-0.420085,0.410347,1.399374,0.435208,0.030189
220,409,0.029350,0.369809,-0.355552,0.420287,1.402716,0.440098,0.029350
221,409,0.028511,0.359243,-0.376111,0.398430,1.380536,0.442543,0.028511
222,409,0.036826,0.464009,-0.420085,0.514137,1.526214,0.454768,0.036826
223,409,0.041266,0.519952,-0.355552,0.547328,1.582217,0.449878,0.041266
224,409,0.030483,0.384092,-0.355552,0.429010,1.414029,0.437653,0.030483
225,409,0.024919,0.313979,-0.420085,0.336969,1.321702,0.437653,0.024919
226,409,0.038829,0.489239,-0.420085,0.530426,1.550503,0.444988,0.038829
227,409,0.022595,0.284693,-0.386988,0.323755,1.301069,0.432763,0.022595
228,409,0.028251,0.355968,-0.355552,0.401073,1.389394,0.432763,0.028251
